title,hash_title,allowed_hashes,best_doc_hash,best_doc_sim
The Foods to Avoid to Lower Stroke Risk,23ddfa713fe4,"['23ddfa713fe4', 'a312e2c7552e']",9cb113feba95,0.7219590943953542
#GivingTuesday: Support NutritionFacts.org,e09978c1c0b6,['e09978c1c0b6'],b4ce0661cc85,0.5902771932751176
Burning Fat with Flavonoids,d1e176ea251c,['d1e176ea251c'],0697a2c3508c,0.5531833981596384
In Late Pregnancy Moderate the Intake of Powerful Anti-inflammatory Foods,d7ffd5e1357c,['d7ffd5e1357c'],c5490ebc83d8,0.7013573871838279
Dietary Cure for Hidradenitis Suppurativa,266d53245941,['266d53245941'],c234d1c4d6c4,0.6094775762667793
Is Monsanto’s Roundup Pesticide Glyphosate Safe?,3030d95216a7,['3030d95216a7'],28c25f0dceed,0.795390555540007
Alkylphenol Endocrine Disruptors and Allergies,cbb4c78495bb,['cbb4c78495bb'],d38c1f4752be,0.6220472239713326
How to Treat Dry Eye Disease Naturally with Diet,de9cae6e8bf7,['de9cae6e8bf7'],f99134dbbbea,0.6564934064855373
The Effects of Dietary Cholesterol on Blood Cholesterol,91f76af08574,"['666c3ffb862d', '91f76af08574']",0e9e2706c579,0.6814830292566878
The Benefits of Broccoli and a New Recipe,c73133b80bd8,['c73133b80bd8'],44f85fe33818,0.4679082109860539
Does Oil Pulling Help Dental Plaque or Gingivitis?,930c153f38af,['930c153f38af'],45439f4cdcd4,0.8486864445555093
Four Brazil Nuts Once a Month…,5a04a040f44f,['5a04a040f44f'],860dcd997ea0,0.6681360462088026
Why Hasn’t Bisphenol A (BPA) Been Banned Completely?,0f827ffabb44,['0f827ffabb44'],f615bc0a70e2,0.7454204940710486
Berries to Prevent Muscle Soreness,3c6c76f03bb6,"['135fe3cf202e', '3c6c76f03bb6']",8571dbe754ec,0.7773926267963933
Best Foods for Acid Reflux,246b4dde7086,['246b4dde7086'],91816aa25ba3,0.5855609071772008
A Low-Methionine Diet May Help Starve Cancer Cells,a70053a60274,['a70053a60274'],378e1d9e0e43,0.7590037800802121
Where Vitamin D Supplements Fail,59feff08aaca,['59feff08aaca'],8b9dcbe84191,0.6334666927167814
Nutritional Yeast to Help Prevent Common Childhood Infections,2997608823f1,['2997608823f1'],42ce0cfbdcb4,0.6216904633917739
Adding FDA-Approved Viruses to Meat,d358bca7ce8f,['d358bca7ce8f'],596a8210bc10,0.739222645137575
How Long to Avoid Fish Before Conception?,3d2ba6c83fe2,['3d2ba6c83fe2'],be54a1c5fa16,0.6585270606674218
Why Weight Loss Plateaus on Diets,2287c69e81cd,['2287c69e81cd'],f177ae6250e1,0.7255051816416191
What Are the Best and Worst Foods?,2bca37580ead,['2bca37580ead'],6c12617099bd,0.5249334343603401
How to Reduce the Cancer-Causing Properties of Meat,e2d646502cf9,['e2d646502cf9'],5ede6bcdbd82,0.6520148858151449
The Risks and Benefits of Calcium Supplements,e7b55a9d5abf,"['cc944102322f', 'e7b55a9d5abf']",8c604371f445,0.8236080131066441
The Foods with the Highest Aspirin Content,5a1a3b108614,['5a1a3b108614'],b6bdc2fa7ba0,0.5369545427676283
Coffee for Hepatitis C,c08d1c67e3af,['c08d1c67e3af'],a2032d938edd,0.721652075456069
The Best Detox,855d6576c8dc,['855d6576c8dc'],f17f23477a72,0.5168493733538678
Anti-Inflammatory Effects of Guacamole,664a72ccdeb3,['664a72ccdeb3'],3c7820c43413,0.4326612666402369
"Dietary Guideline Graphics: From the Food Pyramid to My Plate, Harvard’s Healthy Eating Plate, and PCRM’s Power Plate",f823d0f31b8c,['f823d0f31b8c'],be4181cf06a0,0.683620783657756
Broccoli Boosts Liver Detox Enzymes,db451b54210d,['db451b54210d'],0ff46e52da8b,0.750754372327529
Toxoplasmosis Infection from a Brain Parasite,e6eb715ea12f,['e6eb715ea12f'],78b89ba9c56b,0.7741317170644618
How to Balance the Risks and Benefits of Mammograms,ca2998c3beab,"['ca2998c3beab', '7ede9f3055bb', 'ceeb12a53bdb']",795c9b5791ff,0.6767613476765127
Why There Is So Much Commercial Corruption in Nutrition,12e9cd0e91a2,['12e9cd0e91a2'],40f18cdfed8b,0.6280421834920654
Exploring Hispanic Cuisine with Sylvia Klinger,81fac45e5b56,['81fac45e5b56'],4813c87c634a,0.4669324837828036
How Fruits and Vegetables Can Prevent Asthma,251cf5db8835,"['251cf5db8835', 'a09fb1f0d72b']",7db933410caf,0.728870060716362
Raspberries Reverse Precancerous Lesions,398a109ebd0e,['398a109ebd0e'],8c3a93750c3c,0.5942703122454117
Free App for Android & iPhone and Top 10 Videos of 2015,946bf80bb9b3,['946bf80bb9b3'],0ed99991a918,0.3334723406808197
The Best Way to Cook Greens,cc535ecd96ca,['cc535ecd96ca'],a7d20d8622e3,0.6863388740147229
No Purveyor of Unhealthy Products Wants the Public to Know the Truth,25bf32a630d6,['25bf32a630d6'],729ccf7f0d97,0.5525689667168733
Explore African Cuisines with Chef Marie Kacouchia,f0120f8446b3,['f0120f8446b3'],b1756df8ab84,0.6432773713779333
Nutmeg Toxicity,1f03f571e1e3,['1f03f571e1e3'],224d0979686c,0.7344319413738523
Understanding Lifestyle Medicine From the Heart,a0ce70942f2e,['a0ce70942f2e'],e8c314925035,0.6102352503819474
Why We Should Cut Down on Salt Independently of Blood Pressure,68778fb0c8fa,['68778fb0c8fa'],6ed49726a176,0.5998271693081672
Benefits of Nuts for Stroke Prevention,5bffac427f8f,['5bffac427f8f'],7075f5e6b906,0.5856144073152537
Foods That Improve Sexual Function in Women,177872238219,['177872238219'],7f27350e64dd,0.5662943078760365
The Antioxidant Power of Açaí vs. Apples,9e593019c472,['9e593019c472'],e23d448ef167,0.6622346150712315
Tea Tree Oil and Hormonal Side Effects,9ae59aa49036,['9ae59aa49036'],737730d128d7,0.7232120124641918
What’s the Mediterranean Diet’s Secret?,fad7303d68a3,['fad7303d68a3'],2f140ae51caf,0.6907055743482038
How a Tick Bite Can Lead to Food Allergies,9334cde5b336,['9334cde5b336'],194b447a8cfb,0.6964069543066346
Evidence-Based Nutrition,042c551265bb,['042c551265bb'],9502d29fb207,0.6224104198120922
Dr. Greger on Macrobiotic Diets,48889ee184ae,['48889ee184ae'],d904bb35d2ef,0.3579662769489305
Are Energy Drinks Risky?,bd3fb52c3572,"['bd3fb52c3572', '45cc5b05450c']",ce650e8578e5,0.7983853613925413
What Is TMAO and How Can We Reduce Our Levels?,5b5c96737b16,['5b5c96737b16'],39a1ed01193a,0.563706507009293
Is the Cyanide in Flaxseed Harmful?,79a1873fcd8b,"['79a1873fcd8b', '2d3d293551db']",ec4cb12b609b,0.7375764201943937
Does Green Tea Help Prevent Prostate Cancer?,177cc8f552ad,"['360761fe4965', '7e2cc7931f08', '177cc8f552ad']",018a94a54050,0.7889328189384129
How Milk May Contribute to Childhood Obesity,9ee0788ad531,['9ee0788ad531'],44b45c43161e,0.809361544184481
How to Treat Infant Colic,a1679d972ee6,['a1679d972ee6'],dcbf1ef46177,0.6467730528280382
Explore NutritionFacts.org Resources,6cce7fe2acc0,"['8f0d5425e5f0', '6cce7fe2acc0', 'c89e7548dbe2']",56cace9fd768,0.634047170933842
Even Children Are Getting Gastric Bypasses Now,60aa77217e0a,['60aa77217e0a'],193061595e38,0.7101484061199632
When Is the Best Time to Floss?,3c4d022074ee,['3c4d022074ee'],bd07f7d824c9,0.5587345066151499
Is Noni or Mangosteen Juice Safe?,aa67ea5cf16a,['aa67ea5cf16a'],724403fe9521,0.6310025715427204
Takeaways on Soy and an Edamame Recipe,1b471dcee534,['1b471dcee534'],cc08725db5c6,0.7787841351674302
Get My Favorite Apron (and New Fall Shirts!),edb8eeaca902,['edb8eeaca902'],b66bc8d64096,0.654865817486941
What About the Trans Fat in Animal Fat?,11cbf6f7c591,"['3d84b215ecf5', '11cbf6f7c591']",cb7e168140ec,0.6980531396081509
How Avoiding Eggs Could Help You Avoid Diabetes,1521412df055,['1521412df055'],3a8c04cc87bf,0.6854170119921067
Is There Arsenic in Rice? How Much Rice Is Too Much?,b64d9dbe0b9a,"['41e3187b6b71', '48e0078cdb15', 'b64d9dbe0b9a', '98ff783db1be', '2946f8f86b01', 'fd74667b107f']",1caad6574931,0.7981626547828009
Optimal Phytosterol Dose and Source,c2592583cccf,['c2592583cccf'],bb59b9f42669,0.4979332321416161
Preventing and Treating Low Back Pain with Diet,e0e53b312a39,['e0e53b312a39'],9fe01af29c7d,0.594039541461673
Can One Become a Sugar Addict?,2b40c58626b0,['2b40c58626b0'],9c159662c57b,0.5668352969818979
Summer Sale – 20% Off Everything,ed5a90315543,['ed5a90315543'],cd25cd0fb6bf,0.22657334112891508
A Test for Orthorexia Nervosa?,bc823f8a7731,['bc823f8a7731'],b147cf5d68ad,0.714384997497838
Make Sure Iodine Is in Your Prenatal,dc7d52fa183a,['dc7d52fa183a'],0f58eb183d7a,0.629829181309771
Half of Doctors Give Placebos,f2d3ad61872e,['f2d3ad61872e'],4aa2c784b087,0.6713060176912645
Treating Menstrual Pain with Diet,4a3a605cdecf,['4a3a605cdecf'],5766ea4b9f52,0.6341604975311202
Does Everyone Get Health Benefits from Coffee?,0dd4e1d92394,['0dd4e1d92394'],5a43b24786fa,0.703795526260618
Which Are More Anti-Inflammatory: Sweet Cherries or Tart Cherries?,ac64cf678238,['ac64cf678238'],1e85f2d4df81,0.7645102275441051
How Can Animal Protein Intake Increase Childhood Obesity Risk?,7d5cf0acdf91,['7d5cf0acdf91'],fd60a45fdc56,0.6094847103890552
Saffron for Erectile Dysfunction,70b8f7f544a2,['70b8f7f544a2'],4ce0e81aded3,0.7449436693697205
What Is the Cause of ALS?,4994e2b54e8c,['4994e2b54e8c'],3290dbf1a1a6,0.616617371441921
How to Boost the Benefits of Exercise,4649e5feb7a3,['4649e5feb7a3'],5780b386ee55,0.6361644285486878
Does Animal Protein Cause Osteoporosis?,202a5bb9df52,['202a5bb9df52'],aab4243eb1a9,0.6224137134541102
The Top Three DNA Protecting Spices,4145c93108e7,['4145c93108e7'],055b05a14557,0.5991059698250154
Treating Sensitive Skin from the Inside Out,827d4d500198,['827d4d500198'],b415e545405f,0.6863427066148073
Cancer-Proofing Your Body,7bf67466ad98,['7bf67466ad98'],7e2b823c72c2,0.4679221303638495
Mercury Testing Recommended Before Pregnancy,7bff2b16d3a2,['7bff2b16d3a2'],e8fecfe9ebeb,0.5550499218685574
Plant-Based Diets for Fibromyalgia,cebf2be26ec7,['cebf2be26ec7'],e955c85a818d,0.8186655900321063
“The Eskimo Myth”,3f807d307db8,['3f807d307db8'],fb6c2465080a,0.6920536505552122
Best Nutrition Bang for Your Buck,aedd84dca852,['aedd84dca852'],2b4bfa933542,0.4477370901875751
"Birthday Bookplates, Recipe Calendar, Spanish Translation, User Feedback & More!",9d1bf4874721,['9d1bf4874721'],adb2476ab544,0.5428523733135941
EMF Sensitivity Put to the Test,43c5d6919b28,['43c5d6919b28'],aea4226e092c,0.5224536725397969
Treating Asthma With Plants vs. Pills,0c30dab2cb21,['0c30dab2cb21'],fd9c5e160c73,0.6608649652505869
How to Treat Endometriosis with Diet,bba8f498881f,['bba8f498881f'],3d7735cedca0,0.6017649941761455
What Happens When Pregnant Women Eat More Animal Protein,77c9ad7bcc00,['77c9ad7bcc00'],6c7264cc72a0,0.7247647762248296
What Meat and Eggs Do to Our Microbiome,c6dcba8644ba,['c6dcba8644ba'],92ad33d1bee9,0.4527869324793704
Preorder the How Not to Diet Cookbook & Get a Signed Bookplate!,6f1c448bd8ba,['6f1c448bd8ba'],130fb7356c16,0.6504547439299891
Is Caffeinated Tea Really Dehydrating?,2f293b5d68aa,['2f293b5d68aa'],b10dfdefe9a9,0.4373822936176053
Treating Parkinson’s Disease with Diet,9e177dc00e7b,['9e177dc00e7b'],039c8fb37afc,0.5823951760508617
How Chemically Contaminated Are We?,839567633162,['839567633162'],4e2cfe091ebc,0.5562614929106876
The Spice Proven to Benefit Prediabetes,2e0f9edce887,['2e0f9edce887'],95dba618f4c4,0.5615513725273389
One Heartbeat per Second to Beat the Clock,2bc58af3bbdb,['2bc58af3bbdb'],f539ae550d42,0.46273188312334834
My New Book HOW NOT TO DIE Is Now Available for Pre-Order!,fa486b8630ce,"['6065b318142a', 'fa486b8630ce']",1bf6538cf01f,0.6969379987077944
What About Vegan Junk Food and Vegetarians’ Stroke Risk?,4a5f50709190,"['3e65fd663d5d', '63e80fd4421d', '4a5f50709190', '7ebf7e329384']",3d8957795f5c,0.7853765288385216
Treating Advanced Prostate Cancer with Diet,d904c0703476,"['d904c0703476', 'a6c93cce0c6e']",f345faac4a57,0.7571734636055645
Should Cancer Patients Avoid Raw Fruits and Vegetables?,30a8c52e6c2a,['30a8c52e6c2a'],bce6858a49d0,0.591842101315197
How to Maximize Nutrient Absorption,c4173457a50f,['c4173457a50f'],6c5d166ff597,0.5758121607208733
Flax Seeds for Diabetes,9128a7ff0b2a,['9128a7ff0b2a'],0b240d2e923e,0.70622532552723
Treating Canker Sores with Honey,1ef424a20b2e,['1ef424a20b2e'],9cf44390c1e0,0.8150946865219066
Corporate Influence and Our Epidemic of Obesity,eff5065755fe,['eff5065755fe'],a4685889a435,0.7640277673828433
White Meat May Be as Cholesterol-Raising as Red,0f7ec6006e87,['0f7ec6006e87'],f8036c15e199,0.7764455329709912
Cabbage Leaf Wraps for Arthritic Knees,3dd25ec59e90,['3dd25ec59e90'],d20cd28f4451,0.7652317947484438
Microplastics in Fish Fillets,b99ba38ea168,['b99ba38ea168'],ef3a135448df,0.6502654515966835
90% of Women Appear Misinformed About Mammograms,8e7f7baca348,['8e7f7baca348'],e35dff9a6ad5,0.7327063691204884
Why We Should Eat More Beans,481dfd904229,['481dfd904229'],2ad16c4a897e,0.6445317432506076
How to Treat Canker Sores,8b6c720f43d3,['8b6c720f43d3'],04e1ec925d31,0.6466045726906928
What’s the Optimal Cholesterol Level?,bf0d4d86ee1f,['bf0d4d86ee1f'],310e9e1b845d,0.6010758002787527
How Much Do Vitamin D Supplements Affect Lifespan?,9eae67ffe594,['9eae67ffe594'],c5e278ca5f4c,0.7426638198921147
Removing Warts with Duct Tape?,9a9d12c748e1,"['9a9d12c748e1', 'c1f87ce82099', 'cc24d6380d28']",cb0a5a7781c6,0.7411458939780058
"Testing Greens and Beets, Two of the Best Brain Foods",d762ba989c2d,"['d762ba989c2d', 'fc9a3d02b355']",c6b3e796668c,0.6501282134017006
The Amount of Vitamin D Supplementation I Recommend,fececd168af2,['fececd168af2'],78f7b3801dce,0.6726325467701313
GMO Soybeans Compared to Conventionally Grown and Organic Soy,36a0663551d5,['36a0663551d5'],87cfc3cce7ca,0.56923216534584
Why Is Extra Salt Injected into Meat?,51d0720fba92,['51d0720fba92'],9cecdd79884d,0.6849021719364615
Starch-Blocking Foods for Diabetics?,eed4d49c0903,['eed4d49c0903'],d6924fedd035,0.6457910254550515
Overdosing on Poppy Seeds,189ec971d53a,['189ec971d53a'],d4577f70fa98,0.6165218609387958
Dairy Milk Hormones’ Effects on Cancer,10e3f82e69cd,['10e3f82e69cd'],3bef2f203098,0.7604503000817071
"Eggs, Cigarettes, and Atherosclerosis",559e9f2ecc84,['559e9f2ecc84'],0300e0da9a79,0.6945980423790138
How Beans Help Our Bones,4a33c9b9c7f6,['4a33c9b9c7f6'],5ea3e5c0d7d7,0.5152490943055525
Key Takeaways on Protein and a Protein-Rich Recipe,7903ab3f115b,['7903ab3f115b'],9615c657ce0a,0.545868174390134
Are Fortified Children’s Breakfast Cereals Just Candy?,4a09bbe49415,"['4a09bbe49415', '1453cbd509f3']",240b91c5a0cb,0.7865770268346994
Heart of Gold: Turmeric vs. Exercise,b910d793870f,['b910d793870f'],3f313ccb9224,0.6510723880257583
Bad Gut Flora Can Undermine Our Natural Liver Detox,6609242c16b4,['6609242c16b4'],dcdebdf048f7,0.51005238152637
Breast Cancer Cells Feed on Cholesterol,e0b7e3d55f5b,['e0b7e3d55f5b'],154868e0e40d,0.7856578495423843
Updating Our Microbiome Software and Hardware,c011572c6482,['c011572c6482'],14d26f36b0b6,0.4582557127057802
Wheatgrass Juice Put to the Test,6bd8328b5112,['6bd8328b5112'],98db7cae6999,0.6580006570212023
Which Works Better: Adding Beans or Portion Control?,1e2374dc69e1,['1e2374dc69e1'],780c0368884c,0.4972991919160113
Daily Dozen–Inspired Recipes,79768b7f94b3,['79768b7f94b3'],d06d0220c113,0.7353653219163458
Exploiting Autophagy to Live Longer,67ec9c26b6ac,['67ec9c26b6ac'],404d19bb0e4e,0.44446127757478326
Sushi Worm Parasite,5d76816873b4,['5d76816873b4'],1f191d9915fd,0.6378907700764851
"Arsenic in Rice Milk, Rice Krispies, and Brown Rice Syrup",f9a1efc0baaa,['f9a1efc0baaa'],f2a2fc03865d,0.8142552246427632
Ginger Powder as a Pain-Killer,ef422e2d859c,['ef422e2d859c'],bf1ae5b12651,0.7725843837071549
Plant-Based Meats and Our Health,a6e839599cf4,['a6e839599cf4'],960b997b9460,0.7787340239973929
"Is It the Sugar, the Milk, or the Cocoa in Chocolate Causing Acne?",e7c6c60dfe48,"['e7c6c60dfe48', '0bc96fbf849f']",8ed5bf2c6460,0.8096760709667774
The #1 Dietary Risk Factor Is Not Eating Enough Fruit,2c55537e1d16,['2c55537e1d16'],7b9de966506f,0.44568082112196306
My Testimony Before the 2015 Dietary Guidelines Committee,fe13fd2433dd,['fe13fd2433dd'],14a88f167213,0.6250096874344371
Lead Contamination in Hot Sauces,a80d94066142,['a80d94066142'],f1979b9d24f0,0.7122313941124936
Pivio: The Complete Health Improvement Program,d9b71de6542f,['d9b71de6542f'],86d2d9ba7731,0.42924921157468215
Preventing Bacterial Vaginosis with Diet,bc72a7015734,"['bc72a7015734', '8ba1c8b76999']",97c1004a5ba6,0.6280099677308956
New Eating Guide Now in Print,827d5ccd5e0a,['827d5ccd5e0a'],2680261bfd00,0.6503113292926328
Where to Buy Tea Low in Lead,8fdd6e74245e,['8fdd6e74245e'],1b9711c5e506,0.5642123241035042
Topical Aloe Vera Gel for Lichen Planus,73d084955bdf,['73d084955bdf'],c4ddeee886d8,0.7814231337189306
Dr. Greger Takes on Calcium Supplements in New DVD,d80e9c7fda3b,['d80e9c7fda3b'],3fd309b527fa,0.5963238736772749
Upcoming Webinar on Vitamin K and Recipe for Veggie Mac & Cheese,28286c60007d,['28286c60007d'],b25381997f81,0.6010912454810997
Join the Free Plant-Based Living Series,9f996225e66a,['9f996225e66a'],440f345eda9a,0.6741953997301471
Sports Drinks Are Neither Safe Nor Effective,fd43740eec03,['fd43740eec03'],45449e837442,0.552412401829304
Reduce Acid-Forming Proteins to Protect Kidney Function,8c5b709568d8,['8c5b709568d8'],9083deb709df,0.6318779780808808
Inhibiting Platelet Activation with Tomato Seeds,a81213a75fca,['a81213a75fca'],571a9fdaf30b,0.6408486139988719
Eat Quinoa and Lower Triglycerides?,ac1932e20257,['ac1932e20257'],4a339c285de5,0.6416798696472269
What Happens If You Have Red Wine or Avocados with a Meal?,6a77250e841a,['6a77250e841a'],9c09c6319da7,0.6829730263495697
The Best Diet for Rheumatoid Arthritis,15af0bc32c60,"['15af0bc32c60', 'a1ce86d73f7c']",c032c1f6be7b,0.6733059235242141
"Dr. Greger’s Top Takeaways on Dietary Cholesterol, Fasting for Cancer, and Edibles",a8d161bd9587,['a8d161bd9587'],8341d989fbd5,0.6760967426174839
Amla (dried Indian gooseberry) vs. Lipitor for Lowering Cholesterol,580010f2d931,['580010f2d931'],2a457733ea10,0.6531875905951237
The Effects of the Hops Phytoestrogen in Beer on Breast Cancer Risk,b25186965d5c,['b25186965d5c'],4714b2d4ae1c,0.7368773968261955
The 411 on Blood Pressure,56a04a4f6a14,['56a04a4f6a14'],9a688e9cec5d,0.4329097502226516
Preserving Vision Through Diet,974e60ea6097,['974e60ea6097'],16b85ff2306f,0.5747735169645585
How to Treat Bacterial Vaginosis,8ba1c8b76999,"['bc72a7015734', '8ba1c8b76999']",a73d41bcf55a,0.6125247430463142
Pistachios May Help Erectile Dysfunction,af3ea9b75d10,['af3ea9b75d10'],34893ed70a68,0.7503013210534648
The Most Anti-Inflammatory Mushroom,81c1c94dc1d8,['81c1c94dc1d8'],e06c319ce90b,0.6308122136847724
Cinnamon for Diabetes,f47067bae45a,['f47067bae45a'],63170414b2a4,0.825381751171203
Why Intact Grains Are Even Better Than Whole Grains,aaa2fc241c8d,['aaa2fc241c8d'],8484e0969e64,0.4632753778539633
We Have Specific Fruit and Vegetable Receptors,3043f543e505,['3043f543e505'],dbc1999db448,0.5391035386746853
Why Is Selling Salmonella-Tainted Chicken Legal?,db47ed6ff01b,['db47ed6ff01b'],ca2a53b6b745,0.7049408132622629
Why Athletes Should Eat Nutritional Yeast,fe418ad0629c,['fe418ad0629c'],841b31ea4e90,0.4508508637070981
"TV Appearance, Now Hiring, and New Swag",350793ec5c11,['350793ec5c11'],50c718a814da,0.34629360691061767
How Do Broccoli Supplements Compare to Sprouts?,cb8ecdc0b37a,['cb8ecdc0b37a'],5330b8fefd33,0.7328968006993456
Health Food Store Advice: Often Worthless or Worst,a09b725b0d8a,['a09b725b0d8a'],95043ca86d89,0.50621097504674
Antioxidant- and Folate-Rich Foods for Depression,ca8055112869,['ca8055112869'],46a4eedc2e46,0.7052089558814836
The 3 Vitamins That Prevent Brain Loss,b45ed79b6937,['b45ed79b6937'],92b08d23939f,0.6426374820293486
Lung Inflammation Smoking Cannabis vs. Cocaine vs. Tobacco,d3d6b9c98923,['d3d6b9c98923'],76042628b055,0.7916358876752029
Comparing Pollutant Levels Between Different Diets,e0fd10316136,['e0fd10316136'],15b655ffa7f8,0.45132452475733964
Kidney Toxins Created by Meat Consumption,67161619b024,['67161619b024'],f342d858ffa4,0.5005454290064685
Is Milk Lowering Uric Acid a Good Thing or a Bad Thing?,f5a168a15e04,['f5a168a15e04'],839d7d4c59a0,0.7557581701093172
How Much Water Should We Drink Every Day?,f71d6120fd2a,['f71d6120fd2a'],a135fb4adbc2,0.5867558529653298
The New Rule for Calories per Pound of Weight Loss,bfda2d9e71a6,['bfda2d9e71a6'],6007d8eabf16,0.6829357831130849
"My New Book, How to Survive a Pandemic, Is Out Now",7201a4e97844,"['7201a4e97844', 'fd3ec2fcd743', '103bde84a82d']",725b8205d830,0.8159234947834596
Bile Acids and Breast Cancer,74d06b60727b,['74d06b60727b'],7849d59adcc6,0.7034617260380167
Why Do Vegan Women Have Fewer Female Cancers?,95e91d0168c0,['95e91d0168c0'],01a0027488c0,0.6406888535877442
How to Prevent Gut Inflammation,21c777edc251,['21c777edc251'],897743015117,0.45865730545283834
A Look at the 5:2 Diet and the Fasting-Mimicking Diet,2fb05ba6ece5,['2fb05ba6ece5'],34f9ae0cfe37,0.7017456607574599
Diet and Cellulite,a7ff3bbab6a3,['a7ff3bbab6a3'],8d5acf0ba4c3,0.7630956311026527
How to Prevent Ulcerative Colitis with Diet,0f08771860c2,"['0f08771860c2', '8acc33732df6']",4a56d32f1b45,0.48256522527967455
Eating the Way Nature Intended,90b06120a552,['90b06120a552'],9104b7e407e5,0.4298565487087482
Oil Pulling May Worsen Dental Erosion,b8d3ee433a79,['b8d3ee433a79'],e229c86e6139,0.7134075998146363
Cow Cancer Virus Implicated in Breast Cancer,e3c8d26cb955,['e3c8d26cb955'],43c45f00afaa,0.769806111760886
Fukushima Radiation and Seafood,90267f033ea8,['90267f033ea8'],23f47405048c,0.7359442242560209
Limited-Time Summer Merch Is Here,5ec2f339f64d,['5ec2f339f64d'],948598c46ca2,0.23474188820722822
The Dangers of Oil Pulling,a6c4a9dea03a,['a6c4a9dea03a'],340e194daef3,0.6438549566462533
Benzoyl Peroxide or Tea Tree Oil for Acne?,e495b38b3aa9,['e495b38b3aa9'],b76cd0cc1107,0.8159215216877576
Is Triclosan Antibacterial Toothpaste Safe?,d176d5eaa677,['d176d5eaa677'],15feec1d46ba,0.7650459308119841
Fiber: An Effective Anti-Inflammatory?,a3e4b2e450fa,['a3e4b2e450fa'],ebcfab5fe206,0.6640059666016997
Preventing Alzheimer’s Disease with Diet,65b88f36b3fb,"['65b88f36b3fb', '03e96523ce2e', '4124109d3da0']",232d18534ded,0.7098595485158428
Paleo Diet May Undermine Benefit of CrossFit Exercise,53f139dc32e2,['53f139dc32e2'],bb3511d520f4,0.700366340613617
Beer Phytoestrogens,bebb3ea46e12,['bebb3ea46e12'],9d23db25ce24,0.5347270490899103
Say No to Fish for Five Years Before Pregnancy,e4e33b6f3e9e,['e4e33b6f3e9e'],b909841b5d70,0.6441201702780646
Where Do You Get Your Fiber?,f343ad2b083c,['f343ad2b083c'],3c36ac44dc7b,0.5855066655587235
